name,action,recycle_for,keep_for,sell_price,stack_size
Acoustic Guitar,Use,"4x Metal Parts, 6x Wires",Quick Use consumable,7000,1
Adrenaline Shot,Use,"1x Chemicals, 1x Plastic Parts",Quick Use consumable,300,5
Advanced ARC Powercell,Keep,2x ARC Powercell,Medical Lab: Surge Shield Recharger,640,5
Advanced Electrical Components,Keep,"1x Electrical Components, 1x Wires",10x for Gear Bench III and Utility Station III Upgrades; 5x Expedition Stage 4,1750,5
Advanced Mechanical Components,Keep,"1x Mechanical Components, 1x Steel Spring",5x for Gunsmith III Upgrade,1750,5
Agave,Sell,3x Assorted Seeds,,1000,10
Agave Juice,Keep; or sell if short on space,,Quick Use for Healing,1800,5
Air Freshener,Sell,,,2000,5
Alarm Clock,Recycle,"6x Plastic Parts, 1x Processor",,1000,3
Alien Duck,Sell,,,1000,15
Ancient Fort Security Code,Keep,,Unlocks locked areas,,1
Angled Grip I,Keep,6x Plastic Parts,Equippable Mods,640,1
Angled Grip II,Keep,"1x Duct Tape, 1x Mechanical Components",Equippable Mods,2000,1
Angled Grip III,Keep,"1x Mod Components, 2x Duct Tape",Equippable Mods,5000,1
Antiseptic,Keep,10x Chemical,Crafting Heals,1000,5
Anvil Splitter,Keep,"1x Mod Components, 1x Processor",Equippable Mods,7000,1
Apricot,Keep until upgrades are complete; sell once done,3x Assorted Seeds,17x for Scrappy Level III and V,640,10
ARC Alloy,Keep,2x Metal Parts,"18x for Explosives, Medical Lab, and Utility Station Level I Upgrades; 80x Expedition Stage 1",200,15
ARC Circuitry,Keep,2x ARC Alloy,10x for Refiner III Upgrade,1000,5
ARC Coolant,Sell,16x Chemicals,,1000,3
ARC Flex Rubber,Recycle if short on materials; Sell otherwise if excess,16x Rubber Parts,,1000,3
ARC Motion Core,Keep,2x ARC Alloy,5x for Refiner II Upgrades; Refiner: Magnetic Accelerator,1000,5
ARC Performance Steel,Recycle,12x Metal Parts,Projects Trophy Display (10x),1000,3
ARC Powercell,Keep,,5x for Refiner I; Medical Lab: Shield Rechargers,270,5
ARC Synthetic Resin,Recycle if short on materials; Sell otherwise,14x Plastic Parts,Projects Trophy Display (10x),1000,3
ARC Thermo Lining,Recycle if short on materials; Sell otherwise,16x Fabric,,1000,3
Assorted Seeds,Keep,,,100,100
Bandage,Use,2x Fabric,Quick Use consumable,250,5
Barricade Kit,Use,4x Metal Parts,Quick Use consumable,640,3
Bastion Cell,Keep until upgrades are complete; sell once done,"2x ARC Alloy, 2x Advanced Mechanical Components",6x for Gear Bench III Upgrade,3000,3
Battery,Keep,2x Metal Parts,Quests After Rain Comes (2x) Trash Into Treasure (1x) Projects Expedition 1 (30x) Expedition 2 (30x) Expedition 3 (25x),250,15
Bicycle Pump,Recycle,"4x Canister, 10x Metal Parts",Quests The League (1x),2000,3
Binoculars,Use,"2x Rubber Parts, 4x Plastic Parts",Quick Use consumable,640,1
Blaze Grenade,Use,"2x Oil, 4x Metal Parts",Quick Use consumable,1600,5
Blaze Grenade Trap,Use,,Quick Use consumable,1000,3
Bloated Tuna Can,Sell,,,1000,15
Blue Gate Cellar Key,Keep,,Unlocks locked areas,100,1
Blue Gate Communication Tower Key,Keep,,Unlocks locked areas,100,1
Blue Gate Confiscation Room Key,Keep,,Unlocks locked areas,100,1
Blue Gate Village Key,Keep,,Unlocks locked areas,100,1
Blue Light Stick,Use,1x Chemicals,Quick Use consumable,150,5
Bombardier Cell,Keep until upgrades are complete; sell once done,"2x Advanced Mechanical Components, 2x ARC Alloys",6x for Refiner III Upgrades,3000,3
Breathtaking Snow Globe,Sell,,Projects Expedition 3 (3x),7000,1
Broken Flashlight,Recycle,"2x Battery, 6x Metal Parts",,1000,3
Broken Guidance System,Recycle,4x Processor,Projects Expedition 3 (1x),2000,3
Broken Handheld Radio,Recycle,"3x Sensors, 2x Wires",,2000,3
Broken Taser,Recycle,"2x Battery, 2x Wires",,1000,3
Buried City Hospital Key,Keep,,Unlocks locked areas,100,1
Buried City JKV Employee Access Card,Keep,,Unlocks locked areas,100,1
Buried City Residential Master Key,Keep,,Unlocks locked areas,100,1
Buried City Town Hall Key,Keep,,Unlocks locked areas,100,1
Burned ARC Circuitry,Recycle,2x ARC Alloy,,640,5
Burnt-Out Candles,Sell,,,640,15
Camera Lens,Recycle,8x Plastic Parts,Projects Weather Monitor System (3x),640,5
Candle Holder,Keep; recycle after stage 2 is complete,8x Metal Parts,3x Flickering Flames Stage 2,640,3
Candleberries,Keep,2x Assorted Seeds,All Stages of Flickering Flames (260x Total),460,10
Canister,Keep,3x Plastics Parts,Projects Weather Monitor System (5x),300,15
Cat Bed,Keep until upgrade is complete; sell once done,,1x for Scrappy Level IV Upgrades,1000,3
Chemicals,Keep,,Workshop Explosives Station 1 (50x) Projects Expedition 3 (100x),50,50
Coffee Pot,Sell,,Projects Expedition 3 (1x),1000,3
Combat Mk. 1,Keep,"3x Plastic Parts, 3x Rubber Parts",Equippable Augment,640,1
Combat Mk. 2,Keep,"1x Electrical Components, 1x Magnet",Equippable Augment,2000,1
Combat Mk. 3 (Aggressive),Keep,"1x Advanced Electrical Components, 1x Processor",Equippable Augment,5000,1
Combat Mk. 3 (Flanking),Keep,"1x Advanced Electrical Components, 1x Processor",Equippable Augment,5000,1
Comet Igniter,Keep until uses complete; recycle after,"2x ARC Alloy, 2x Crude Explosives",Projects Weather Monitor System (1x),1000,3
Compensator I,Keep,5x Metal Parts,Equippable Mods,640,1
Compensator II,Keep,"1x Mechanical Components, 1x Wires",Equippable Mods,2000,1
Compensator III,Keep,"1x Mod Components, 2x Wires",Equippable Mods,5000,1
Complex Gun Parts,Keep,2x Simple Gun Parts,Topside Material - crafting ingredient,3000,3
Coolant,Sell,"5x Chemicals, 2x Oil",,1000,3
Cooling Coil,Recycle,"6x Chemicals, 2x Steel Springs",Projects Expedition 2 (4x),1000,3
Cooling Fan,KEEP FOR EXPEDITION MATS; Sell after,"14x Plastic Parts, 4x Wires",5x Expedition Stage 2,2000,3
Cracked Bioscanner,Keep until upgrade is complete; sell or recycle once done,"3x Rubber Parts, 3x Battery",2x for Medical Lab II Upgrade,1000,3
Crude Explosives,"Keep; If no inventory space, recycle",3x Chemicals,5x for Explosives Station II Upgrade,270,10
Crumpled Plastic Bottle,Recycle,4x Plastic Parts,,270,3
Dam Control Tower Key,Keep,,Unlocks locked areas,100,1
Dam Controlled Access Zone Key,Keep,,Unlocks locked areas,100,1
Dam Staff Room Key,Keep,,Unlocks locked areas,100,1
Dam Surveillance Key,Keep,,Unlocks locked areas,100,1
Dam Testing Annex Key,Keep,,Unlocks locked areas,100,1
Dam Utility Key,Keep,,Unlocks locked areas,100,1
Damaged ARC Motion Core,Recycle,2x ARC Alloy,,640,5
Damaged ARC Powercell,Recycle,1x ARC Alloy,,293,5
Damaged Fireball Burner,Recycle,1x ARC Alloy,,270,3
Damaged Heat Sink,Keep until upgrade is complete; sell once done,"6x Metal Parts, 2x Wires",2x for Utility Station II Upgrade,1000,3
Damaged Hornet Driver,Recycle,2x ARC Alloy,,640,3
Damaged Leaper Pulse Unit,Recycle,3x ARC Alloy,,1000,3
Damaged Rocketeer Driver,Sell,3x ARC Alloy,,1000,3
Damaged Snitch Scanner,Sell,,,659,3
Damaged Tick Pod,Recycle,1x ARC Alloy,,270,3
Damaged Wasp Driver,Recycle,1x ARC Alloy,,270,3
Dart Board,Sell,,,2000,3
Deadline,Use,"1x ARC Circuitry, 1x Explosive Compound",Quick Use consumable,6000,1
Defibrillator,Use,"1x Moss, 1x Plastic Parts",Quick Use consumable,1000,3
Deflated Football,Recycle,"9x Rubber Parts, 9x Fabric",Quests The League (1x),1000,3
Degraded ARC Rubber,Recycle,11x Rubber Parts,,640,3
Diving Goggles,Recycle,12x Rubber Parts,,640,3
Dog Collar,Keep until upgrade is complete; recycle once done,"8x Fabric, 1x Metal Parts",1x Scrappy for Level II Upgrade,640,3
Doodly Duck,Sell,,,3000,15
Door Blocker,Use,2x Metal Parts,Quick Use consumable,270,3
Dried-Out ARC Resin,Recycle,9x Plastic Parts,,640,3
Duct Tape,Keep,3x Fabric,10x Flickering Flames Stage 3,300,15
Durable Cloth,Keep,6x Fabric,"5x for Medical Lab II Upgrade; 35x Expedition Stage 2, 5x Flickering Flames Stage 1",640,10
Electrical Components,Keep,"3x Plastics Parts, 3x Rubber Parts",10x Gear Bench II and Utility Station II Upgrades; 30x Expedition Stage 2,640,10
Empty Wine Bottle,Keep; sell after stage 1 is complete,,1x Flickering Flames Stage 1,1000,5
Energy Clip,Keep,,Ammo,1000,5
Exodus Modules,Keep,"2x Magnet, 1x Mechanical Components",1x Expedition Stage 3,2750,3
Expired Pasta,Keep,,,1000,15
Expired Respirator,Recycle,"8x Rubber Parts, 4x Fabric",Projects Trophy Display (3x),640,3
Explosive Compound,Keep,2x Crude Explosives,5x for Explosives Station III Upgrade,1000,5
Explosive Mine,Use,"1x Sensors, 2x Oil",Quick Use consumable,1500,3
Extended Barrel,Keep,"1x Mod Components, 1x Wires",Equippable Mods,5000,1
Extended Light Mag I,Keep,6x Plastic Parts,Equippable Mods,640,1
Extended Light Mag II,Keep,"1x Mechanical Components, 1x Steel Spring",Equippable Mods,2000,1
Extended Light Mag III,Keep,"1x Mod Components, 2x Steel Spring",Equippable Mods,5000,1
Extended Medium Mag I,Keep,6x Plastic Parts,Equippable Mods,640,1
Extended Medium Mag II,Keep,"1x Mechanical Components, 1x Steel Spring",Equippable Mods,2000,1
Extended Medium Mag III,Keep,"1x Mod Components, 2x Steel Spring",Equippable Mods,5000,1
Extended Shotgun Mag I,Keep,6x Plastic Parts,Equippable Mods,640,1
Extended Shotgun Mag II,Keep,"1x Mechanical Components, 1x Steel Spring",Equippable Mods,2000,1
Extended Shotgun Mag III,Keep,"1x Mod Components, 2x Steel Spring",Equippable Mods,5000,1
Fabric,Keep,,80x for Gear Bench I and Medical Lab I Upgrades,50,50
Faded Photograph,Sell,,,640,15
Familiar Duck,Sell,,,7000,15
Fertilizer,Keep for quest; Sell once done,2x Assorted Seeds,1x for Unexpected Initiative,1000,5
Film Reel,Keep for quest; Sell once done,,1x Trader Quest Item; 2x Flickering Flames Stage 3,2000,3
Fine Wristwatch,Sell,,Projects Weather Monitor System (1x),3000,3
Fireball Burner,Keep until upgrade is complete; recycle once done,"1x ARC Alloy, 1x Crude Explosives",8x for Refiner II Upgrade,640,3
Firecracker,Use,3x Plastic Parts,Quick Use consumable,270,5
Firefly Burner,Keep until uses complete; recycle after,"2x ARC Alloy, 2x Crude Explosives",Projects Expedition 3 (5x) Weather Monitor System (1x),1000,3
Fireworks Box,Use,1x Explosive Compound,Quick Use consumable,2000,1
Flame Spray,Use,"1x Canister, 1x Fireball Burner",Quick Use consumable,2000,1
Flashy Duck,Sell,,,3000,15
Flow Controller,Recycle if short on materials; Sell otherwise,"1x Advanced Mechanical Components, 1x Sensors",Quests Snap And Salvage (1x),3000,3
Fossilized Lightning,Sell,3x Explosive Compound,,4000,1
Free Loadout Augment,Keep,,Equippable Augment,100,1
Frequency Modulation Box,Recycle if short on materials; Sell otherwise,"1x Advanced Electrical Components, 1x Speaker Component",Projects Expedition 1 (5x),3000,3
Fried Motherboard,Keep until upgrade is complete; Sell once done,"5x Plastic Parts, 2x Electrical Components",3x for Utility Station III Upgrade,2000,3
Fruit Mix,Use,,Quick Use consumable,1800,5
Frying Pan,Recycle,8x Metal Parts,,640,3
Garlic Press,Recycle if short on materials; Sell otherwise,12x Metal Parts,,1000,3
Gas Grenade,Use,"1x Chemicals, 1x Rubber Parts",Quick Use consumable,270,3
Gas Grenade Trap,Use,,Quick Use consumable,300,3
Gas Mine,Use,"1x Chemicals, 1x Rubber Parts",Quick Use consumable,270,3
Geiger Counter,Recycle if short on materials; Sell otherwise,"3x Battery, 1x Exodus Modules",Projects Trophy Display (3x),3500,3
Gentle Duck,Sell,,,1000,15
Great Mullein,Keep,2x Assorted Seeds,Quests Doctor's Orders (1x),300,15
Green Light Stick,Use,1x Chemicals,Quick Use consumable,150,5
Headphones,Sell,"7x Rubber Parts, 1x Speaker Components",,1000,3
Heavy Ammo,Keep,,Ammo,12,40
Heavy Fuze Grenade,Use,"1x Oil, 2x Rubber Parts",Quick Use consumable,1600,3
Heavy Gun Parts,Keep,2x Simple Gun Parts,Topside Material - crafting ingredient,700,5
Heavy Shield,Keep,"1x Voltage Converter, 2x ARC Circuitry",Equippable Shield,5500,1
Herbal Bandage,Use,"2x Assorted Seeds, 5x Fabric",Quick Use consumable,900,5
Horizontal Grip,Keep,"1x Mod Components, 2x Duct Tape",Equippable Mods,7000,1
Hornet Driver,"Keep until upgrade is complete; recycle once done
(Sell if excess)","2x ARC Alloy, 2x Electrical Components",5x for Gear Bench II Upgrade,1000,3
Household Cleaner,Recycle,11x Chemicals,,640,3
Humidifier,KEEP FOR EXPEDITION MATS; Recycle after,"2x Canister, 2x Wires",5x Expedition Stage 4,1000,3
Ice Cream Scooper,Recycle,7x Metal Parts,,640,3
Impure ARC Coolant,Recycle,12x Chemicals,,640,3
Industrial Battery,Recycle if short on materials; Sell otherwise,"7x Chemicals, 2x Battery",3x for Gear Bench III Upgrade; 1x Flickering Flames Stage 2,1000,3
Industrial Charger,Recycle if short on materials; Sell otherwise,"5x Metal Parts, 1x Voltage Converter",Projects Expedition 3 (3x),1000,3
Industrial Magnet,Recycle if short on materials; Sell otherwise,"4x Metal Parts, 2x Magnet",,1000,3
Integrated Binoculars,Use,,Quick Use consumable,,
Integrated Defibrillator,Use,,Quick Use consumable,,1
Integrated Shield Recharger,Use,,Quick Use consumable,,
Ion Sputter,Recycle if short on materials; Sell otherwise,"4x Voltage Converter, 1x Exodus Modules",Quests With A View (1x) Projects Expedition 1 (3x),6000,3
Jolt Mine,Use,"1x Battery, 2x Plastic Parts",Quick Use consumable,850,3
Kinetic Converter,Keep,"1x Mod Components, 2x Duct Tape",Equippable Mods,7000,1
Laboratory Reagents,Keep until upgrade is complete; recycle once done,"16x Chemicals, 3x Crude Explosives",3x for Explosives Station III Upgrade,2000,3
Lance's Mixtape (5th Edition),Sell,,,10000,3
Launcher Ammo,Keep,,Ammo,250,24
Leaper Pulse Unit,KEEP FOR EXPEDITION MATS; Recycle after,"3x Arc Alloy, 2x Advanced Mechanical Components",4x for Utility Station III Upgrade; 3x Expedition Stage 4,3000,3
Lemon,Keep until upgrade is complete; sell once done,3x Assorted Seeds,5x for Scrappy Level III Upgrade,640,10
Li'l Smoke Grenade,Use,"1x Chemicals, 1x Plastic Parts",Quick Use consumable,300,5
Light Ammo,Keep,,Ammo,4,100
Light Bulb,KEEP FOR EXPEDITION MATS; Sell after,,5x Expedition Stage 3; 3x Flickering Flames Stage 2,2000,3
