name,action,recycle_for,keep_for,sell_price,stack_size
Light Gun Parts,Keep,2x Simple Gun Parts,Topside Material - crafting ingredient,700,5
Light Impact Grenade,Use,"1x Chemicals, 1x Plastic Parts",Quick Use consumable,270,5
Light Shield,Keep,4x Plastic Parts,Equippable Shield,640,1
Lightweight Stock,Keep,"1x Duct Tape, 1x Mod Components",Equippable Mods,5000,1
Looting Mk. 1,Keep,"3x Plastic Parts, 3x Rubber Parts",Equippable Augment,640,1
Looting Mk. 2,Keep,"1x Electrical Components, 1x Magnet",Equippable Augment,2000,1
Looting Mk. 3 (Cautious),Keep,"1x Advanced Electrical Components, 1x Processor",Equippable Augment,5000,1
Looting Mk. 3 (Safekeeper),Keep,"1x Advanced Electrical Components, 1x Processor",Equippable Augment,5000,1
Looting Mk. 3 (Survivor),Keep,"1x Advanced Electrical Components, 1x Processor",Equippable Augment,5000,1
Lure Grenade,Use,1x Speaker Component,Quick Use consumable,1000,3
Lure Grenade Trap,Use,,Quick Use consumable,1000,3
Magnet,Keep,2x Metal Parts,Topside Material - crafting ingredient,300,15
Magnetic Accelerator,"Keep for high-tier crafting; if excess, sell","1x Advanced Mechanical Components, 1x ARC Motion Core",Projects Expedition 1 (3x) Trophy Display (10x),5500,3
Magnetron,Recycle if short on materials; Sell otherwise,"1x Magnetic Accelerator, 1x Steel Spring",Quests Snap And Salvage (1x),6000,3
Matriarch Reactor,"Keep for high-tier crafting; if excess, sell","1x Power Rod, 1x Magnetic Accelerator",Projects Trophy Display (3x),11000,1
Mechanical Components,Keep,"3x Metal Parts, 2x Rubber Parts",5x for Gunsmith II Upgrade,640,10
Medium Ammo,Keep,,Ammo,6,80
Medium Gun Parts,Keep,2x Simple Gun Parts,Topside Material - crafting ingredient,700,5
Medium Shield,Keep,1x ARC Circuitry,Equippable Shield,2000,1
Metal Brackets,Recycle if short on materials; Sell otherwise,8x Metal Parts,,640,3
Metal Parts,Keep,,80x for Gunsmith I and Refiner I Upgrades; 150x Expedition Stage 1,75,50
Microscope,Recycle if short on materials; Sell otherwise,"1x Advanced Mechanical Components, 3x Magnet",,3000,3
Mini Centrifuge,Recycle if short on materials; Sell otherwise,"1x Advanced Mechanical Components, 2x Canister",,3000,3
Mod Components,Keep,"1x Mechanical Components, 1x Steel Spring",Refined Material - crafting ingredient,1750,5
Moss,Keep for defib; recycle after,3x Assorted Seeds,Medical Lab: Defibrillator,500,10
Motor,Keep until upgrade is complete; sell once done,"2x Oil, 2x Mechanical Components",3x for Refiner III Upgrade,2000,3
Mushroom,Keep until upgrade is complete; sell once done,,12x for Scrappy Level V Upgrade,1000,10
Music Album,Sell,,,3000,3
Music Box,Sell,,,5000,3
Muzzle Brake I,Keep,5x Metal Parts,Equippable Mods,640,1
Muzzle Brake II,Keep,"1x Mechanical Components, 1x Wires",Equippable Mods,2000,1
Muzzle Brake III,Keep,"1x Mod Components, 2x Wires",Equippable Mods,5000,1
Noisemaker,Use,1x Speaker Component,Quick Use consumable,640,3
Number Plate,Recycle,3x Metal Parts,,270,3
Oil,Keep,3x Chemicals,Projects Weather Monitor System (3x),300,15
Olives,Keep until upgrade is complete; sell once done,2x Assorted Seeds,6x for Scrappy Level IV Upgrade,640,10
Padded Stock,Keep,"1x Duct Tape, 1x Mod Components",Equippable Mods,5000,1
Painted Box,Sell,,,2000,3
Patrol Car Key,Keep,,Unlocks locked areas,100,1
Photoelectric Cloak,Use,"1x Advanced Electrical Components, 1x Speaker Component",Quick Use consumable,5000,1
Pilgrim's Peak Security Code,Keep,,Unlocks locked areas,,1
Plastic Parts,Keep,,75x for Gear Bench I and Utility Station I Upgrades; 25x Flickering FLames Stage 1,60,50
Playing Cards,Sell,,,5000,3
Polluted Air Filter,Recycle if short on materials; Sell otherwise,"6x Fabric, 2x Oil",,1000,3
Pop Trigger,Recycle after upgrade is done,"1x Crude Explosives, 1x ARC Alloy",5x for Explosives Station II Upgrade,640,3
Portable TV,Recycle if short on materials; Sell otherwise,"6x Wires, 2x Battery",,2000,1
Poster Of Natural Wonders,Sell,,,2000,3
Pottery,Sell,,,2000,3
Power Bank,Recycle if short on materials; Sell otherwise,"2x Battery, 2x Wires",,1000,3
Power Cable,Recycle,4x Wires,3x for Gear Bench II Upgrade,1000,3
Power Rod,"Keep for high-tier crafting; if excess, sell","1x Advanced Electrical Components, 1x ARC Circuitry",Quests Tribute To Toledo (1x),5000,3
Prickly Pear,Keep until upgrade is complete; sell once done,3x Assorted Seeds,8x for Scrappy Level IV Upgrade,640,10
Processor,Keep,"1x Wires, 1x Plastic Parts",Topside Material - crafting ingredient,500,5
Projector,Recycle if short on materials; Sell otherwise,"2x Wires, 1x Processor",,1000,3
Pulse Mine,Use,6x Chemicals,Quick Use consumable,470,3
Queen Reactor,"Keep for high-tier crafting; if excess, sell","1x Power Rod, 1x Magnetic Accelerator",Projects Trophy Display (3x),11000,1
Radio,Recycle if short on materials; Sell otherwise,"1x Speaker Component, 1x Sensors",,1000,3
Radio Relay,Recycle if short on materials; Sell otherwise,"2x Speaker Componets, 2x Sensors",,3000,3
Raider Hatch Key,Keep,,Unlocks locked areas,2000,1
Raider's Refuge Security Code,Keep,,Unlocks locked areas,,1
Recorder,Sell,10x Plastic Parts,Quick Use consumable,1000,1
Red Coral Jewelry,Sell,,,5000,3
Red Light Stick,Use,1x Chemicals,Quick Use consumable,150,5
Reinforced Reception Security Code,Keep,,Unlocks locked areas,,1
Remote Control,Recycle if short on materials; Sell otherwise,"7x Plastic Parts, 1x Sensors",,1000,3
Remote Raider Flare,Use,"1x Chemicals, 1x Rubber Parts",Quick Use consumable,270,3
Resin,Sell,,,1000,10
Ripped Safety Vest,Recycle,"1x Durable Cloth, 1x Magnet",,1000,3
Rocket Thruster,"Recycle if low on Metal Parts, otherwise sell","6x Metal Parts, 2x Synthesized Fuel",,2000,3
Rocketeer Driver,Keep until upgrade is complete; sell once done,"3x ARC Alloy, 2x Advanced Electrical Components",3x for Explosive Station III Upgrade,3000,3
Roots,Sell,1x Assorted Seeds,,640,10
Rope,Keep,5x Fabric,Topside Material - crafting ingredient,500,5
Rosary,Sell,,,2000,3
Rotary Encoder,Recycle if short on materials; Sell otherwise,"2x Electrical Components, 2x Processor",Quests With A View (1x),3000,3
Rubber Duck,Sell; maybe keep (see note),,"There might be a quest tied to having rubber ducks, so maybe keep some",1000,15
Rubber Pad,Recycle if short on materials; Sell otherwise,18x Rubber Parts,,1000,3
Rubber Parts,Keep,,30x for Gunsmith I Upgrade; 200x Expedition Stage 1,50,50
Ruined Accordion,Sell,"18x Rubber Parts, 3x Steel Spring",,2000,3
Ruined Augment,Recycle,"2x Plastic Parts, 2x Rubber Parts",,270,1
Ruined Baton,Recycle,"6x Metal Parts, 3x Rubber Parts",,640,3
Ruined Handcuffs,Recycle,8x Metal Parts,,640,3
Ruined Parachute,Recycle,10x Fabric,,640,3
Ruined Riot Shield,Recycle if short on materials; Sell otherwise,"10x Plastic Parts, 6x Rubber Parts",,1000,3
Ruined Tactical Vest,Recycle,"5x Fabric, 1x Magnet",,640,3
Rusted Bolts,Recycle,8x Metal Parts,Projects Trophy Display (3x) Weather Monitor System (3x),640,3
Rusted Gear,Keep until upgrade is complete; sell once done,"4x Metal Parts, 2x Mechanical Components",3x for Gunsmith III Upgrade,2000,3
Rusted Shut Medical Kit,Keep until upgrade is complete; recycle once done,"2x Syringe, 1x Antiseptic",3x for Medical Lab III Upgrade,2000,3
Rusted Tools,Keep until upgrade is complete; sell once done,"8x Metal Parts, 1x Steel Spring",3x for Gunsmith II Upgrade,1000,3
Rusty ARC Steel,Recycle,8x Metal Parts,,640,3
Sample Cleaner,Recycle if short on materials; Sell otherwise,"2x Electrical Components, 14x Assorted Seeds",,3000,3
Seeker Grenade,Use,1x Crude Explosives,Quick Use consumable,640,5
Sensors,Keep,"1x Wires, 1x Metal Parts",20x Expedition Stage 2,500,5
Sentinel Firing Core,Keep until upgrade is complete; sell or recycle once done,"2x ARC Alloy, 3x Mechanical Components",4x for Gunsmith III Upgrade,2000,3
Shaker,Use,10x Plastic Parts,Quick Use consumable,1000,1
Shield Recharger,Use,4x Rubber Parts,Quick Use consumable,520,5
Shotgun Ammo,Keep,,Ammo,20,20
Shotgun Choke I,Keep,5x Metal Parts,Equippable Mods,640,1
Shotgun Choke II,Keep,"1x Mechanical Components, 1x Wires",Equippable Mods,2000,1
Shotgun Choke III,Keep,"1x Mod Components, 2x Wires",Equippable Mods,5000,1
Shotgun Silencer,Keep,"1x Mod Components, 1x Wires",Equippable Mods,5000,1
Showstopper,Use,"1x Electrical Components, 1x Voltage Converter",Quick Use consumable,2100,5
Shrapnel Grenade,Use,"1x Crude Explosives, 1x Metal Parts",Quick Use consumable,800,5
Shredder Gyro,Recycle,"3x Mechanical Components, 3x ARC Alloy",Projects Expedition 2 (10x) Trophy Display (5x),2000,3
Signal Amplifier,Recycle if short on materials; Sell otherwise,"2x Electrical Components, 2x Voltage Converter",,3000,3
Silencer I,Keep,"1x Mechanical Components, 1x Wires",Equippable Mods,2000,1
Silencer II,Keep,"1x Mod Components, 2x Wires",Equippable Mods,5000,1
Silencer III,Keep,"1x Mod Components, 3x Wires",Equippable Mods,7000,1
Silver Teaspoon Set,Sell,,,3000,3
Simple Gun Parts,Keep,2x Metals Parts,Topside Material - crafting ingredient,330,10
Smoke Grenade,Use,"1x Canister, 2x Chemicals",Quick Use consumable,1000,5
Smoke Grenade Trap,Use,,Quick Use consumable,640,3
Snap Blast Grenade,Use,"1x Chemicals, 1x Magnet",Quick Use consumable,800,3
Snap Hook,Use,"1x Power Rod, 3x Rope",Quick Use consumable,14000,1
Snitch Scanner,Keep,4x ARC Alloy,6x for Utility Station II Upgrade,1000,3
Snowball,Sell,,,10,5
Spaceport Container Storage Key,Keep,,Unlocks locked areas,100,1
Spaceport Control Tower Key,Keep,,Unlocks locked areas,100,1
Spaceport Trench Tower Key,Keep,,Unlocks locked areas,100,1
Spaceport Warehouse Key,Keep,,Unlocks locked areas,100,1
Speaker Component,Keep,"2x Plastic Parts, 3x Rubber Parts",Topside Material - crafting ingredient,500,5
Spectrometer,Recycle if short on materials; Sell otherwise,"1x Advanced Electrical Components, 1x Sensors",,3000,3
Spectrum Analyzer,Recycle if short on materials; Sell otherwise,"1x Sensors, 1x Exodus Modules",,3500,3
Spotter Relay,Sell,"2x Electrical Components, 1x ARC Alloy",Projects Trophy Display (10x),1000,3
Spring Cushion,Recycle if short on materials; Sell otherwise,"2x Durable Cloth, 2x Steel Springs",,2000,3
Stable Stock I,Keep,6x Rubber Parts,Equippable Mods,640,1
Stable Stock II,Keep,"1x Duct Tape, 1x Mechanical Components",Equippable Mods,2000,1
Stable Stock III,Keep,"1x Mod Components, 2x Duct Tape",Equippable Mods,5000,1
Statuette,Sell,,,3000,3
Steel Spring,Keep,2x Metal Parts,15x Steel Spring,300,15
Stella Montis Archives Key,Keep,,Unlocks locked areas,100,1
Stella Montis Assembly Admin Key,Keep,,Unlocks locked areas,250,1
Stella Montis Medical Storage Key,Keep,,Unlocks locked areas,100,1
Stella Montis Security Checkpoint Key,Keep,,Unlocks locked areas,100,1
Sterilized Bandage,Use,"1x Antiseptic, 1x Fabric",Quick Use consumable,2000,3
Surge Shield Recharger,Use,1x Electrical Components,Quick Use consumable,1200,5
Surveyor Vault,Keep until upgrade is complete; sell or recycle once done,"2x Mechanical Components, 2x ARC Alloy",5x for Medical Lab III Upgrades,1000,3
Synthesized Fuel,Keep,"1x Oil, 1x Plastic Parts",Workshop Explosives Station 2 (3x),700,5
Syringe,Keep,"3x Plastic Parts, 2x Chemicals",Quests Doctor's Orders (1x),500,5
Tactical Mk. 1,Keep,"3x Plastic Parts, 3x Rubber Parts",Equippable Augment,640,1
Tactical Mk. 2,Keep,"1x Electrical Components, 1x Magnet",Equippable Augment,2000,1
Tactical Mk. 3 (Defensive),Keep,"1x Advanced Electrical Components, 1x Processor",Equippable Augment,5000,1
Tactical Mk. 3 (Healing),Keep,"1x Advanced Electrical Components, 1x Processor",Equippable Augment,5000,1
Tactical Mk. 3 (Revival),Keep,"1x Advanced Electrical Components, 1x Processor",Equippable Augment,5000,1
Tagging Grenade,Use,"1x Plastic Parts, 1x Sensors",Quick Use consumable,1000,3
Tattered ARC Lining,Recycle if short on materials; Sell otherwise,12x Fabric,,640,3
Tattered Clothes,Recycle,11x Fabric,,640,3
Telemetry Transceiver,Recycle if short on materials; Sell otherwise,"1x Advanced Electrical Components, 1x Processor",,3000,3
Thermostat,Sell,"7x Rubber Parts, 1x Sensors",,1000,3
Tick Pod,Keep until upgrade is complete; sell or recycle once done,"2x Arc Alloy, 2x Chemicals",8x for Medical Lab II Upgrade,640,3
Toaster,Keep until upgrade is complete; recycle otherwise,"5x Plastic Parts, 3x Wires",3x for Refiner II Upgrade,1000,3
Torn Blanket,Recycle,12x Fabric,,640,3
Torn Book,Sell,,,1000,5
Trailblazer,Use,2x Crude Explosives,Quick Use consumable,2200,3
Trigger 'Nade,Use,"1x Chemicals, 1x Processor",Quick Use consumable,1000,3
Tropical Duck,Sell,,,1000,15
Turbo Pump,Recycle if short on materials; Sell otherwise,"1x Mechanical Components, 3x Oil",,2000,3
Unusable Weapon,Recycle if short on materials; Sell otherwise,"4x Metal Parts, 5x Simple Gun Parts",,2000,3
Vase,Sell,,,3000,3
Vertical Grip I,Keep,6x Plastic Parts,Equippable Mods,640,1
Vertical Grip II,Keep,"1x Duct Tape, 1x Mechanical Components",Equippable Mods,2000,1
Vertical Grip III,Keep,"2x Duct Tape, 2x Mechanical Components",Equippable Mods,5000,1
Very Comfortable Pillow,Keep for Scrappy Level V Upgrade; sell afterwards,,3x for Scrappy Level V Upgrade,2000,3
Vita Shot,Use,"1x Syringe, 4x Chemicals",Quick Use consumable,2200,3
Vita Spray,Use,"1x Antiseptic, 1x Canister",Quick Use consumable,3400,1
Volcanic Rock,Sell,,,270,5
Voltage Converter,Keep,"1x Wires, 1x Rubber Parts",Projects Weather Monitor System (3x),500,5
Wasp Driver,Keep; sell or recycle after upgrade is complete,"1x ARC Alloy, 1x Electrical Components",8x for Gunsmith II Upgrade,640,3
Water Filter,Recycle if short on materials; Sell otherwise,"2x Rubber Parts, 3x Canister",,1000,3
Water Pump,Keep until quest is complete; recycle or sell,"4x Metal Parts, 2x Oil",1x for Unexpected Initiative,1000,3
Wires,Keep,2x Rubber Parts,30x Expedition Stage 2,200,15
Wolfpack,Use,"1x ARC Motion Core, 1x Explosive Compound",Quick Use consumable,6000,1
Yellow Light Stick,Use,1x Chemicals,Quick Use consumable,150,5
Zipline,Use,"1x Metal Parts, 1x Rope",Quick Use consumable,1000,3
